method,PSI,RSI,RN,RTR,SI,PFI,PPi,PILSM,PImd,RDPI,RPI,gPi,CEV,CV_t,ESP,RC,PIR,PPF,ESPIID,D_slope,EVS,PR,PQ,ESPI,NRW,APC,RNN
PSI,1,0.8845183375352015,0.392061079620812,0.5238315829004094,-0.9200211395874319,-0.8870172149339461,-0.8878413138915728,-0.8878413138915728,-0.8878413138915728,-0.8856250991665567,-0.8856250991665567,-0.8845183375352015,-0.8845183375352015,-0.8845183375352015,-0.8763528115087971,-0.8835938886406061,-0.8857813172230333,-0.8542428457045099,-0.9390454472121238,-0.9370087245444,-0.9482967624143367,-0.9412170522967848,-0.9412170522967848,-0.9412170522967848,-0.9412170522967848,-0.9321685797588576,-0.9329726921092817
RSI,0.8845183375352015,1,0.02010397618165024,0.17201816221799687,-0.9946191833889529,-0.9999333022177036,-0.9996689607110892,-0.9996689607110892,-0.9996689607110892,-0.9999650985418854,-0.9999650985418854,-1,-1,-1,-0.9995385233927798,-0.9998553238052639,-0.9996160105457345,-0.9954435352446022,-0.9801442545031639,-0.9816979460678735,-0.9759808120278047,-0.977001127113082,-0.977001127113082,-0.977001127113082,-0.977001127113082,-0.9793726457291193,-0.9815518639429831
RN,0.392061079620812,0.02010397618165024,0.9999999999999999,0.9874371739175041,-0.11284833694178109,-0.026227196722299343,-0.027334029666122216,-0.027334029666122216,-0.027334029666122216,-0.02111930482969094,-0.02111930482969094,-0.02010397618165024,-0.02010397618165024,-0.02010397618165024,0.006097386183906149,-0.010436384135614313,-0.01681355355109215,0.06451859133220501,-0.19885293542091229,-0.18382533714501645,-0.21836475120969276,-0.20943002664990001,-0.20943002664990001,-0.20943002664990001,-0.20943002664990001,-0.19549342203540246,-0.18839575274618062
RTR,0.5238315829004094,0.17201816221799687,0.9874371739175041,1,-0.261582155752778,-0.17791629249514154,-0.1785326375733028,-0.1785326375733028,-0.1785326375733028,-0.17283500113439995,-0.17283500113439995,-0.17201816221799687,-0.17201816221799687,-0.17201816221799687,-0.14662053813604323,-0.16284543568670218,-0.1682969790612209,-0.08754710640980706,-0.3429886988114289,-0.3282486100704221,-0.36196797586741664,-0.35280462561940396,-0.35280462561940396,-0.35280462561940396,-0.35280462561940396,-0.3388045179145251,-0.3325048067984863
SI,-0.9200211395874319,-0.9946191833889529,-0.11284833694178109,-0.261582155752778,1,0.9953805392070996,0.9958617631321597,0.9958617631321597,0.9958617631321597,0.995030728162064,0.995030728162064,0.9946191833889529,0.9946191833889529,0.9946191833889529,0.9914474832931067,0.9934988156098741,0.9950036271409006,0.9840261343061755,0.9951428979997182,0.9959755015905166,0.9931044704201356,0.9931929291212028,0.9931929291212028,0.9931929291212028,0.9931929291212028,0.9943890496525402,0.9956076096562806
PFI,-0.8870172149339461,-0.9999333022177036,-0.026227196722299343,-0.17791629249514154,0.9953805392070996,0.9999999999999999,0.999870098692849,0.999870098692849,0.999870098692849,0.9999676750744441,0.9999676750744441,0.9999333022177036,0.9999333022177036,0.9999333022177036,0.9992054808034362,0.9996645614935648,0.9997709089258384,0.9952155516309183,0.9818441305529435,0.9832971780938675,0.9774442301311222,0.978953618556151,0.978953618556151,0.978953618556151,0.978953618556151,0.9811392046093227,0.9828514220954818
PPi,-0.8878413138915728,-0.9996689607110892,-0.027334029666122216,-0.1785326375733028,0.9958617631321597,0.999870098692849,1,1,1,0.9998343162390387,0.9998343162390387,0.9996689607110892,0.9996689607110892,0.9996689607110892,0.9987341129551027,0.99929109639301394,0.9999172366707935,0.9954497825481137,0.9831047404550267,0.98464914223665,0.978418226430818,0.9804286105625338,0.9804286105625338,0.9804286105625338,0.9804286105625338,0.9826003286612043,0.9838653047113638
PILSM,-0.8878413138915728,-0.9996689607110892,-0.027334029666122216,-0.1785326375733028,0.9958617631321597,0.999870098692849,1,1,1,0.9998343162390387,0.9998343162390387,0.9996689607110892,0.9996689607110892,0.9996689607110892,0.9987341129551027,0.99929109639301394,0.9999172366707935,0.9954497825481137,0.9831047404550267,0.98464914223665,0.978418226430818,0.9804286105625338,0.9804286105625338,0.9804286105625338,0.9804286105625338,0.9826003286612043,0.9838653047113638
PImd,-0.8878413138915728,-0.9996689607110892,-0.027334029666122216,-0.1785326375733028,0.9958617631321597,0.999870098692849,1,1,1,0.9998343162390387,0.9998343162390387,0.9996689607110892,0.9996689607110892,0.9996689607110892,0.9987341129551027,0.99929109639301394,0.9999172366707935,0.9954497825481137,0.9831047404550267,0.98464914223665,0.978418226430818,0.9804286105625338,0.9804286105625338,0.9804286105625338,0.9804286105625338,0.9826003286612043,0.9838653047113638
RDPI,-0.8856250991665567,-0.9999650985418854,-0.02111930482969094,-0.17283500113439995,0.995030728162064,0.9999676750744441,0.9998343162390387,0.9998343162390387,0.9998343162390387,1,1,0.9999650985418854,0.9999650985418854,0.9999650985418854,0.99940693129532,0.9997834395991644,0.9997972330842867,0.9956454952730204,0.980969050171392,0.982579416924165,0.9767209688913535,0.977934295926922,0.977934295926922,0.977934295926922,0.977934295926922,0.9802613930291646,0.9822417689918278
RPI,-0.8856250991665567,-0.9999650985418854,-0.02111930482969094,-0.17283500113439995,0.995030728162064,0.9999676750744441,0.9998343162390387,0.9998343162390387,0.9998343162390387,1,1,0.9999650985418854,0.9999650985418854,0.9999650985418854,0.99940693129532,0.9997834395991644,0.9997972330842867,0.9956454952730204,0.980969050171392,0.982579416924165,0.9767209688913535,0.977934295926922,0.977934295926922,0.977934295926922,0.977934295926922,0.9802613930291646,0.9822417689918278
gPi,-0.8845183375352015,-1,-0.02010397618165024,-0.17201816221799687,0.9946191833889529,0.9999333022177036,0.9996689607110892,0.9996689607110892,0.9996689607110892,0.9999650985418854,0.9999650985418854,1,1,1,0.9995385233927798,0.9998553238052639,0.9996160105457345,0.9954435352446022,0.9801442545031639,0.9816979460678735,0.9759808120278047,0.977001127113082,0.977001127113082,0.977001127113082,0.977001127113082,0.9793726457291193,0.9815518639429831
CEV,-0.8845183375352015,-1,-0.02010397618165024,-0.17201816221799687,0.9946191833889529,0.9999333022177036,0.9996689607110892,0.9996689607110892,0.9996689607110892,0.9999650985418854,0.9999650985418854,1,1,1,0.9995385233927798,0.9998553238052639,0.9996160105457345,0.9954435352446022,0.9801442545031639,0.9816979460678735,0.9759808120278047,0.977001127113082,0.977001127113082,0.977001127113082,0.977001127113082,0.9793726457291193,0.9815518639429831
CV_t,-0.8845183375352015,-1,-0.02010397618165024,-0.17201816221799687,0.9946191833889529,0.9999333022177036,0.9996689607110892,0.9996689607110892,0.9996689607110892,0.9999650985418854,0.9999650985418854,1,1,1,0.9995385233927798,0.9998553238052639,0.9996160105457345,0.9954435352446022,0.9801442545031639,0.9816979460678735,0.9759808120278047,0.977001127113082,0.977001127113082,0.977001127113082,0.977001127113082,0.9793726457291193,0.9815518639429831
ESP,-0.8763528115087971,-0.9995385233927798,0.006097386183906149,-0.14662053813604323,0.9914474832931067,0.9992054808034362,0.9987341129551027,0.9987341129551027,0.9987341129551027,0.99940693129532,0.99940693129532,0.9995385233927798,0.9995385233927798,0.9995385233927798,1,0.9998476525446175,0.9990031889549269,0.9968827741608165,0.9741218894804556,0.976089333751747,0.9699735249935743,0.9705329603252102,0.9705329603252102,0.9705329603252102,0.9705329603252102,0.9730958537914316,0.9759620977545722
RC,-0.8835938886406061,-0.9998553238052639,-0.010436384135614313,-0.16284543568670218,0.9934988156098741,0.9996645614935648,0.99929109639301394,0.99929109639301394,0.99929109639301394,0.9997834395991644,0.9997834395991644,0.9998553238052639,0.9998553238052639,0.9998553238052639,0.9998476525446175,1,0.9994082931827629,0.9959929078415922,0.9777843681654917,0.9795259713562672,0.9738597923982887,0.9744607182924353,0.9744607182924353,0.9744607182924353,0.9744607182924353,0.976714004433899,0.9793024122117041
PIR,-0.8857813172230333,-0.9996160105457345,-0.01681355355109215,-0.1682969790612209,0.9950036271409006,0.9997709089258384,0.9999172366707935,0.9999172366707935,0.9999172366707935,0.9997972330842867,0.9997972330842867,0.9996160105457345,0.9996160105457345,0.9996160105457345,0.9990031889549269,0.9994082931827629,1,0.9964733356474953,0.9813732870317672,0.9831376237593697,0.9765907678672154,0.9786221777909155,0.9786221777909155,0.9786221777909155,0.9786221777909155,0.9807858979115388,0.9821247286811936
PPF,-0.8542428457045099,-0.9954435352446022,0.06451859133220501,-0.08754710640980706,0.9840261343061755,0.9952155516309183,0.9954497825481137,0.9954497825481137,0.9954497825481137,0.9956454952730204,0.9956454952730204,0.9954435352446022,0.9954435352446022,0.9954435352446022,0.9968827741608165,0.9959929078415922,0.9964733356474953,1,0.9639953828704819,0.9672663264737577,0.9578102551021604,0.9604347518933161,0.9604347518933161,0.9604347518933161,0.9604347518933161,0.9637477548837396,0.9655661231069914
ESPIID,-0.9390454472121238,-0.9801442545031639,-0.19885293542091229,-0.3429886988114289,0.9951428979997182,0.9818441305529435,0.9831047404550267,0.9831047404550267,0.9831047404550267,0.980969050171392,0.980969050171392,0.9801442545031639,0.9801442545031639,0.9801442545031639,0.9741218894804556,0.9777843681654917,0.9813732870317672,0.9639953828704819,1,0.9996782630228763,0.9984030785267817,0.9996609783995448,0.9996609783995448,0.9996609783995448,0.9996609783995448,0.9996788123353788,0.9986640396971646
D_slope,-0.9370087245444,-0.9816979460678735,-0.18382533714501645,-0.3282486100704221,0.9959755015905166,0.9832971780938675,0.98464914223665,0.98464914223665,0.98464914223665,0.982579416924165,0.982579416924165,0.9816979460678735,0.9816979460678735,0.9816979460678735,0.976089333751747,0.9795259713562672,0.9831376237593697,0.9672663264737577,0.9996782630228763,1,0.9985545346297076,0.9989275582679799,0.9989275582679799,0.9989275582679799,0.9989275582679799,0.9994568902801769,0.9991256147104037
EVS,-0.9482967624143367,-0.9759808120278047,-0.21836475120969276,-0.36196797586741664,0.9931044704201356,0.9774442301311222,0.978418226430818,0.978418226430818,0.978418226430818,0.9767209688913535,0.9767209688913535,0.9759808120278047,0.9759808120278047,0.9759808120278047,0.9699735249935743,0.9738597923982887,0.9765907678672154,0.9578102551021604,0.9984030785267817,0.9985545346297076,1,0.9972219759425826,0.9972219759425826,0.9972219759425826,0.9972219759425826,0.9975491761763429,0.9989431859662969
PR,-0.9412170522967848,-0.977001127113082,-0.20943002664990001,-0.35280462561940396,0.9931929291212028,0.978953618556151,0.9804286105625338,0.9804286105625338,0.9804286105625338,0.977934295926922,0.977934295926922,0.977001127113082,0.977001127113082,0.977001127113082,0.9705329603252102,0.9744607182924353,0.9786221777909155,0.9604347518933161,0.9996609783995448,0.9989275582679799,0.9972219759425826,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9993221958598145,0.9970777957357897
PQ,-0.9412170522967848,-0.977001127113082,-0.20943002664990001,-0.35280462561940396,0.9931929291212028,0.978953618556151,0.9804286105625338,0.9804286105625338,0.9804286105625338,0.977934295926922,0.977934295926922,0.977001127113082,0.977001127113082,0.977001127113082,0.9705329603252102,0.9744607182924353,0.9786221777909155,0.9604347518933161,0.9996609783995448,0.9989275582679799,0.9972219759425826,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9993221958598145,0.9970777957357897
ESPI,-0.9412170522967848,-0.977001127113082,-0.20943002664990001,-0.35280462561940396,0.9931929291212028,0.978953618556151,0.9804286105625338,0.9804286105625338,0.9804286105625338,0.977934295926922,0.977934295926922,0.977001127113082,0.977001127113082,0.977001127113082,0.9705329603252102,0.9744607182924353,0.9786221777909155,0.9604347518933161,0.9996609783995448,0.9989275582679799,0.9972219759425826,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9993221958598145,0.9970777957357897
NRW,-0.9412170522967848,-0.977001127113082,-0.20943002664990001,-0.35280462561940396,0.9931929291212028,0.978953618556151,0.9804286105625338,0.9804286105625338,0.9804286105625338,0.977934295926922,0.977934295926922,0.977001127113082,0.977001127113082,0.977001127113082,0.9705329603252102,0.9744607182924353,0.9786221777909155,0.9604347518933161,0.9996609783995448,0.9989275582679799,0.9972219759425826,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9993221958598145,0.9970777957357897
APC,-0.9321685797588576,-0.9793726457291193,-0.19549342203540246,-0.3388045179145251,0.9943890496525402,0.9811392046093227,0.9826003286612043,0.9826003286612043,0.9826003286612043,0.9802613930291646,0.9802613930291646,0.9793726457291193,0.9793726457291193,0.9793726457291193,0.9730958537914316,0.976714004433899,0.9807858979115388,0.9637477548837396,0.9996788123353788,0.9994568902801769,0.9975491761763429,0.9993221958598145,0.9993221958598145,0.9993221958598145,0.9993221958598145,1,0.9986744783066809
RNN,-0.9329726921092817,-0.9815518639429831,-0.18839575274618062,-0.3325048067984863,0.9956076096562806,0.9828514220954818,0.9838653047113638,0.9838653047113638,0.9838653047113638,0.9822417689918278,0.9822417689918278,0.9815518639429831,0.9815518639429831,0.9815518639429831,0.9759620977545722,0.9793024122117041,0.9821247286811936,0.9655661231069914,0.9986640396971646,0.9991256147104037,0.9989431859662969,0.9970777957357897,0.9970777957357897,0.9970777957357897,0.9970777957357897,0.9986744783066809,0.9999999999999999
